ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
605318.SH,605318,法狮龙,浙江,其他建材,主板,20200803,283770.4162,283770.4162
605319.SH,605319,无锡振华,江苏,汽车配件,主板,20210607,965237.7104,824810.9104
605333.SH,605333,沪光股份,江苏,汽车配件,主板,20200818,1689013.1052,1689013.1052
605336.SH,605336,帅丰电器,浙江,家用电器,主板,20201019,322072.2622,322072.2622
605337.SH,605337,李子园,浙江,乳制品,主板,20210208,433087.4735,433087.4735
605338.SH,605338,巴比食品,上海,食品,主板,20201012,420856.0,420856.0
605339.SH,605339,南侨食品,上海,食品,主板,20210518,734022.7657,734022.7657
605358.SH,605358,立昂微,浙江,半导体,主板,20200911,1689156.6748,1689156.6748
605365.SH,605365,立达信,福建,家用电器,主板,20210720,812758.8462,812758.8462
605366.SH,605366,宏柏新材,江西,化工原料,主板,20200812,375911.9825,374322.3708
605368.SH,605368,蓝天燃气,河南,供气供热,主板,20210129,738932.0782,692385.4556
605369.SH,605369,拱东医疗,浙江,医疗保健,主板,20200916,453037.9431,453037.9431
605376.SH,605376,博迁新材,江苏,小金属,主板,20201208,1072560.0,1072560.0
605377.SH,605377,华旺科技,浙江,造纸,主板,20201228,567803.6734,567803.6734
605378.SH,605378,野马电池,浙江,电气设备,主板,20210412,500105.004,500105.004
605388.SH,605388,均瑶健康,湖北,乳制品,主板,20200818,368697.176,368697.176
605389.SH,605389,长龄液压,江苏,机械基件,主板,20210322,437880.6057,414114.6836
605398.SH,605398,新炬网络,上海,软件服务,主板,20210121,562998.6713,562998.6713
605399.SH,605399,晨光新材,江西,化工原料,主板,20200804,367568.1833,366230.9633
605488.SH,605488,福莱新材,浙江,塑料,主板,20210513,1101151.6132,1082230.3103
605499.SH,605499,东鹏饮料,深圳,软饮料,主板,20210527,11905697.635,11905697.635
605500.SH,605500,森林包装,浙江,造纸,主板,20201222,290494.4,290494.4
605507.SH,605507,国邦医药,浙江,化学制药,主板,20210802,1066794.0615,575987.6531
605555.SH,605555,德昌股份,浙江,家用电器,主板,20211021,1021013.3136,372085.0539
